City|State short|State full|County|Latitude|Longitude|ZIP codes|Population|Density|Timezone
Rosedale|WA|Washington|Pierce|47.3452|-122.6369|98332|4267|363|America/Los_Angeles
Edgewood|OH|Ohio|Ashtabula|41.8783|-80.7461|44004|4265|242|America/New_York
Boyertown|PA|Pennsylvania|Berks|40.3322|-75.6375|19512|4264|2129|America/New_York
Bradley Beach|NJ|New Jersey|Monmouth|40.2018|-74.0128|7720|4264|2696.9|America/New_York
Highland Beach|FL|Florida|Palm Beach|26.4087|-80.0661|33487|4264|3067.5|America/New_York
Ligonier|IN|Indiana|Noble|41.4625|-85.5948|46767|4263|573.4|America/Indiana/Indianapolis
Normandy|MO|Missouri|St. Louis|38.7071|-90.3009|63121,63133|4263|888.1|America/Chicago
Bristow|OK|Oklahoma|Creek|35.8336|-96.3944|74010|4261|475.8|America/Chicago
Sparta|MI|Michigan|Kent|43.1571|-85.7106|49345|4260|646|America/Detroit
Lonoke|AR|Arkansas|Lonoke|34.7906|-91.9072|72086|4260|342.2|America/Chicago
Laureldale|PA|Pennsylvania|Berks|40.3897|-75.9134|19605|4259|2031.2|America/New_York
Buchanan|MI|Michigan|Berrien|41.8283|-86.3656|49107|4259|651.9|America/Detroit
Russell|KS|Kansas|Russell|38.8874|-98.8514|67665|4258|338.5|America/Chicago
Paintsville|KY|Kentucky|Johnson|37.8163|-82.8089|41222,41240|4256|248|America/New_York
Shenandoah|PA|Pennsylvania|Schuylkill|40.8167|-76.2003|17976|4256|1087.7|America/New_York
North Braddock|PA|Pennsylvania|Allegheny|40.4023|-79.8533|15104|4255|1100.7|America/New_York
Suncoast Estates|FL|Florida|Lee|26.7123|-81.8684|33917|4255|603.9|America/New_York
Southside|AR|Arkansas|Independence|35.7149|-91.6328|72501|4254|166.7|America/Chicago
Elmira Heights|NY|New York|Chemung|42.1267|-76.8254|14903|4254|1432.7|America/New_York
Sullivan|IL|Illinois|Moultrie|39.5951|-88.6084|61951|4253|593.1|America/Chicago
Hayfield|VA|Virginia|Fairfax|38.7536|-77.1321|22315|4252|1280.5|America/New_York
Elverta|CA|California|Sacramento|38.7185|-121.4455|95626|4252|185.7|America/Los_Angeles
Euharlee|GA|Georgia|Bartow|34.1441|-84.9327|30145,30120|4251|303.7|America/New_York
Sullivan|IN|Indiana|Sullivan|39.0973|-87.4074|47882|4250|875.3|America/Indiana/Indianapolis
West Jefferson|OH|Ohio|Madison|39.9475|-83.3076|43140,43119,43162|4250|164.1|America/New_York
Shelbyville|IL|Illinois|Shelby|39.4097|-88.8005|62565|4248|395.6|America/Chicago
Larksville|PA|Pennsylvania|Luzerne|41.2639|-75.9327|18704,18651|4248|349.7|America/New_York
Hatillo|PR|Puerto Rico|Hatillo|18.4811|-66.8221|659|4247|1515.9|America/Puerto_Rico
West Peoria|IL|Illinois|Peoria|40.697|-89.6399|61604|4246|777.4|America/Chicago
Harbison Canyon|CA|California|San Diego|32.8273|-116.8381|92021,92019,91901|4245|162.7|America/Los_Angeles
Osawatomie|KS|Kansas|Miami|38.5063|-94.9486|66064|4244|317.9|America/Chicago
Hometown|IL|Illinois|Cook|41.7312|-87.7311|60456|4244|3421.6|America/Chicago
Spackenkill|NY|New York|Dutchess|41.6547|-73.91|12603|4244|911.7|America/New_York
Spindale|NC|North Carolina|Rutherford|35.3597|-81.9232|28160|4244|303|America/New_York
Garden Ridge|TX|Texas|Comal|29.6379|-98.2927|78266|4243|229.4|America/Chicago
Lawrenceville|IL|Illinois|Lawrence|38.7264|-87.6873|62439|4241|756.8|America/Chicago
Farrell|PA|Pennsylvania|Mercer|41.2112|-80.4971|16121|4239|722.9|America/New_York
Ovilla|TX|Texas|Ellis|32.5352|-96.8895|75154|4239|282.9|America/Chicago
Caldwell|TX|Texas|Burleson|30.5307|-96.7007|77836|4238|382.3|America/Chicago
Lake View|AL|Alabama|Tuscaloosa|33.2802|-87.1259|35111|4238|778.4|America/Chicago
Greencastle|PA|Pennsylvania|Franklin|39.7907|-77.7267|17225|4237|1030.5|America/New_York
Chariton|IA|Iowa|Lucas|41.0175|-93.3097|50049|4235|433.9|America/Chicago
Forty Fort|PA|Pennsylvania|Luzerne|41.2846|-75.869|18704|4235|1252.5|America/New_York
French Island|WI|Wisconsin|La Crosse|43.8593|-91.2614|54603|4235|808.9|America/Chicago
County Center|VA|Virginia|Prince William|38.6917|-77.3507|22192|4233|809.4|America/New_York
West Laurel|MD|Maryland|Prince George's|39.1134|-76.8924|20707|4231|722.4|America/New_York
Santa Barbara|PR|Puerto Rico|Canóvanas|18.3954|-65.9172|729|4231|2467|America/Puerto_Rico
Brookland|AR|Arkansas|Craighead|35.8991|-90.5767|72417|4230|205.5|America/Chicago
Ho-Ho-Kus|NJ|New Jersey|Bergen|41.0001|-74.0972|7423|4230|938.9|America/New_York
Pine Level|AL|Alabama|Autauga|32.5785|-86.4523|36066,36067,36022|4228|64.8|America/Chicago
Geneva|AL|Alabama|Geneva|31.0437|-85.8763|36340|4227|104.5|America/Chicago
Comanche|TX|Texas|Comanche|31.9005|-98.6043|76442|4227|357.8|America/Chicago
Park Rapids|MN|Minnesota|Hubbard|46.9169|-95.0576|56470|4226|220.8|America/Chicago
Spring Valley Village|TX|Texas|Harris|29.7898|-95.5041|77024,77055|4226|1342.5|America/Chicago
Ashburn|GA|Georgia|Turner|31.7096|-83.6528|31714|4226|343.8|America/New_York
Danville|PA|Pennsylvania|Montour|40.9615|-76.6121|17821|4225|1048.7|America/New_York
Ashdown|AR|Arkansas|Little River|33.6746|-94.1265|71822|4225|228.6|America/Chicago
Kutztown University|PA|Pennsylvania|Berks|40.5103|-75.7851|19530|4225|3443|America/New_York
Fox Farm-College|WY|Wyoming|Laramie|41.1105|-104.7871|82007,82010|4224|541.4|America/Denver
Anna|IL|Illinois|Union|37.4612|-89.2388|62906|4222|441.4|America/Chicago
Fayette|AL|Alabama|Fayette|33.6943|-87.8307|35555|4221|190.6|America/Chicago
Broadway|VA|Virginia|Rockingham|38.6083|-78.8016|22815|4221|685.4|America/New_York
Franklin|NC|North Carolina|Macon|35.1798|-83.3809|28734,28744|4221|329.7|America/New_York
Fayetteville|NY|New York|Onondaga|43.0308|-75.9984|13066|4220|939.4|America/New_York
Aumsville|OR|Oregon|Marion|44.8462|-122.87|97325|4220|1443.4|America/Los_Angeles
Aldan|PA|Pennsylvania|Delaware|39.9224|-75.2881|19018|4219|2729.8|America/New_York
Sharpsville|PA|Pennsylvania|Mercer|41.2595|-80.4813|16150|4219|1171.1|America/New_York
Lyons|GA|Georgia|Toombs|32.2062|-82.3215|30436|4217|193.4|America/New_York
Surfside Beach|SC|South Carolina|Horry|33.6093|-78.9772|29575|4217|835.7|America/New_York
Mirrormont|WA|Washington|King|47.4616|-121.9937|98027,98038|4217|156.5|America/Los_Angeles
Cannon Falls|MN|Minnesota|Goodhue|44.5122|-92.9034|55009|4216|354.5|America/Chicago
Broken Bow|OK|Oklahoma|McCurtain|34.0292|-94.7426|74728|4215|265.7|America/Chicago
Mount Pleasant|PA|Pennsylvania|Westmoreland|40.1509|-79.5434|15666,15685|4215|1625.6|America/New_York
Slaughterville|OK|Oklahoma|Cleveland|35.091|-97.2881|73051,73068|4214|42.1|America/Chicago
Bay Hill|FL|Florida|Orange|28.4559|-81.5122|32836,32819|4214|684.9|America/New_York
Grape Creek|TX|Texas|Tom Green|31.5817|-100.5474|76901|4214|103.9|America/Chicago
Sherman|IL|Illinois|Sangamon|39.8876|-89.6066|62684,62707|4211|517.5|America/Chicago
Columbus|MN|Minnesota|Anoka|45.2685|-93.0809|55025|4211|36.3|America/Chicago
Ellenville|NY|New York|Ulster|41.7009|-74.3609|12420,12428,12446|4210|187|America/New_York
East Camden|SC|South Carolina|Kershaw|34.2687|-80.5681|29020|4210|454|America/New_York
High Ridge|MO|Missouri|Jefferson|38.4608|-90.5338|63049|4209|431|America/Chicago
Chagrin Falls|OH|Ohio|Cuyahoga|41.4319|-81.3887|44022|4209|780.6|America/New_York
San Carlos|TX|Texas|Hidalgo|26.2957|-98.0631|78542|4209|898.8|America/Chicago
Kings Park|VA|Virginia|Fairfax|38.8026|-77.2396|22151|4206|1248.6|America/New_York
Wamego|KS|Kansas|Pottawatomie|39.2054|-96.3099|66547|4205|615.7|America/Chicago
Northwest Harwich|MA|Massachusetts|Barnstable|41.6917|-70.1026|02671,02645,02646|4205|203.4|America/New_York
Mattituck|NY|New York|Suffolk|41.0012|-72.5419|11952|4204|180.7|America/New_York
Kelseyville|CA|California|Lake|38.9704|-122.8328|95451|4204|562.7|America/Los_Angeles
Mount Olive|NC|North Carolina|Wayne|35.1997|-78.0662|28365|4204|592.8|America/New_York
Le Sueur|MN|Minnesota|Le Sueur|44.4702|-93.9026|56058|4204|312.7|America/Chicago
Charleroi|PA|Pennsylvania|Washington|40.1384|-79.9002|15022|4203|2129.3|America/New_York
Poplar Grove|IL|Illinois|Boone|42.3517|-88.8353|61065|4202|206|America/Chicago
Clarion|PA|Pennsylvania|Clarion|41.2106|-79.3803|16214|4202|1030.5|America/New_York
Paxton|IL|Illinois|Ford|40.4563|-88.102|60957|4201|534.3|America/Chicago
Jacksonwald|PA|Pennsylvania|Berks|40.3279|-75.8414|19606|4201|918.8|America/New_York
Cold Spring|MN|Minnesota|Stearns|45.457|-94.4297|56320|4201|578.4|America/Chicago
Galeville|NY|New York|Onondaga|43.0868|-76.1871|13088|4200|1294.2|America/New_York
West Bay Shore|NY|New York|Suffolk|40.6948|-73.2618|11706|4199|742.6|America/New_York
Bellville|TX|Texas|Austin|29.9472|-96.2598|77418|4196|595.1|America/Chicago
Springville|NY|New York|Erie|42.5084|-78.6696|14141|4196|440.2|America/New_York
Rising Sun-Lebanon|DE|Delaware|Kent|39.1|-75.5047|19934,19962,19901|4195|453.1|America/New_York
Scott AFB|IL|Illinois|St. Clair|38.5412|-89.853|62225|4195|373.5|America/Chicago
Park Layne|OH|Ohio|Clark|39.8881|-84.0394|45344|4193|1105.5|America/New_York
Edinburgh|IN|Indiana|Johnson|39.3509|-85.9625|46124|4191|488.7|America/Indiana/Indianapolis
Malmstrom AFB|MT|Montana|Cascade|47.5059|-111.1825|59405,59402|4191|316.9|America/Denver
Kildeer|IL|Illinois|Lake|42.183|-88.0488|60047|4189|375|America/Chicago
Kutztown|PA|Pennsylvania|Berks|40.5212|-75.7772|19530|4188|1011|America/New_York
Carlisle|IA|Iowa|Polk|41.5118|-93.495|50047|4187|286.1|America/Chicago
Danielson|CT|Connecticut|Northeastern Connecticut|41.8086|-71.8854|6239|4185|1477.4|America/New_York
Lisbon Falls|ME|Maine|Androscoggin|44.0086|-70.0571|4252|4185|439.2|America/New_York
Harbour Heights|FL|Florida|Charlotte|26.9928|-82.0072|33983|4184|744.9|America/New_York
Madera Ranchos|CA|California|Madera|36.9279|-119.8773|93636|4182|619.8|America/Los_Angeles
Monte Vista|CO|Colorado|Rio Grande|37.5789|-106.1499|81144,81135|4178|611.6|America/Denver
Fairway|KS|Kansas|Johnson|39.0245|-94.6287|66205|4177|1428.4|America/Chicago
Greendale|IN|Indiana|Dearborn|39.1316|-84.851|47025|4176|284.7|America/New_York
Duncan|SC|South Carolina|Spartanburg|34.9342|-82.1443|29334,29651|4175|243.5|America/New_York
Trenton|TN|Tennessee|Gibson|35.9689|-88.945|38382|4175|200.6|America/Chicago
Swanton|OH|Ohio|Fulton|41.5839|-83.888|43558|4171|473.5|America/New_York
Dallastown|PA|Pennsylvania|York|39.8996|-76.641|17313|4171|2050.8|America/New_York
Caseyville|IL|Illinois|St. Clair|38.6302|-90.0339|62232|4170|220.9|America/Chicago
Wingate|NC|North Carolina|Union|34.9859|-80.448|28174|4169|613.8|America/New_York
Jourdanton|TX|Texas|Atascosa|28.9141|-98.5409|78026|4166|442.3|America/Chicago
Pipestone|MN|Minnesota|Pipestone|43.9958|-96.3117|56164|4165|387.9|America/Chicago
Shackle Island|TN|Tennessee|Sumner|36.3775|-86.6168|37075|4164|290.2|America/Chicago
Jefferson|IA|Iowa|Greene|42.0173|-94.3799|50129|4164|267.2|America/Chicago
Shrewsbury|NJ|New Jersey|Monmouth|40.3249|-74.06|7702|4162|743.8|America/New_York
Capitol View|SC|South Carolina|Richland|33.965|-80.9223|29209|4161|1004.2|America/New_York
Sebring|OH|Ohio|Mahoning|40.9207|-81.0231|44672|4160|643.7|America/New_York
Surf City|NC|North Carolina|Pender|34.4346|-77.5644|28445,28443|4160|209|America/New_York
Amity Gardens|PA|Pennsylvania|Berks|40.2718|-75.7321|19518|4158|1352.1|America/New_York
Montesano|WA|Washington|Grays Harbor|47.0102|-123.5857|98563|4157|147.1|America/Los_Angeles
Whitesboro|TX|Texas|Grayson|33.6612|-96.9022|76273|4154|480|America/Chicago
Gardnertown|NY|New York|Orange|41.5328|-74.0595|12550,12551,12552|4154|332.4|America/New_York
Riverside|MO|Missouri|Platte|39.1703|-94.6306|64150,64168|4153|290.1|America/Chicago
Waverly|OH|Ohio|Pike|39.1256|-82.9836|45690|4153|385.1|America/New_York
Algonac|MI|Michigan|St. Clair|42.6207|-82.5339|48001|4152|1129.7|America/Detroit
Jacksboro|TX|Texas|Jack|33.2256|-98.1594|76458|4151|221.8|America/Chicago
Linden|MI|Michigan|Genesee|42.8194|-83.7811|48451|4150|680.4|America/Detroit
Clay Center|KS|Kansas|Clay|39.3812|-97.1276|67432|4148|501.9|America/Chicago
Roosevelt Park|MI|Michigan|Muskegon|43.1982|-86.2733|49441|4148|1558.7|America/Detroit
Georgetown|OH|Ohio|Brown|38.8684|-83.8992|45121|4147|385.8|America/New_York
Dawsonville|GA|Georgia|Dawson|34.4362|-84.125|30534|4147|166.6|America/New_York
Rosemont|IL|Illinois|Cook|41.989|-87.8718|60018|4145|892.8|America/Chicago
Benson|NC|North Carolina|Johnston|35.386|-78.5437|27504|4144|535.1|America/New_York
Lansford|PA|Pennsylvania|Carbon|40.8331|-75.8848|18232|4144|1041.4|America/New_York
Dimmitt|TX|Texas|Castro|34.5324|-102.3111|79027|4143|507.8|America/Chicago
Southport|NC|North Carolina|Brunswick|33.9411|-78.0205|28461|4143|394.2|America/New_York
Coal Valley|IL|Illinois|Rock Island|41.4416|-90.4462|61240|4142|505.1|America/Chicago
Newport|SC|South Carolina|York|34.9833|-81.0992|29732|4142|198.7|America/New_York
Wonder Lake|IL|Illinois|McHenry|42.3794|-88.3493|60097|4141|322.1|America/Chicago
Lambertville|NJ|New Jersey|Hunterdon|40.3687|-74.943|8530|4141|1474.6|America/New_York
Gibson|AR|Arkansas|Pulaski|34.8923|-92.2341|72120|4141|336.3|America/Chicago
Akwesasne|NY|New York|Franklin|44.9647|-74.6664|13683,13655,13662,12914|4140|38.4|America/New_York
Jena|LA|Louisiana|LaSalle|31.6914|-92.1298|71342|4139|290.7|America/Chicago
Thorndale|PA|Pennsylvania|Chester|39.9991|-75.7517|19372,19335|4139|858.1|America/New_York
Saxon|SC|South Carolina|Spartanburg|34.9616|-81.9713|29378,29301|4139|671.2|America/New_York
Lyncourt|NY|New York|Onondaga|43.082|-76.1265|13206,13208|4138|1276.4|America/New_York
Church Point|LA|Louisiana|Acadia|30.4037|-92.2145|70525|4133|551.3|America/Chicago
Lowell|MI|Michigan|Kent|42.9351|-85.3457|49331|4133|554.1|America/Detroit
Akron|PA|Pennsylvania|Lancaster|40.158|-76.2031|17501|4133|1301.1|America/New_York
Jersey Shore|PA|Pennsylvania|Lycoming|41.2012|-77.2666|17740|4133|1378.3|America/New_York
Bowling Green|MO|Missouri|Pike|39.3447|-91.2032|63334|4130|593|America/Chicago
South Highpoint|FL|Florida|Pinellas|27.9086|-82.7162|33760|4129|2183.9|America/New_York
Dakota Dunes|SD|South Dakota|Union|42.492|-96.487|57049|4129|645.7|America/Chicago
Grafton|ND|North Dakota|Walsh|48.4142|-97.4056|58237|4128|482.6|America/Chicago
Brookfield|MO|Missouri|Linn|39.7853|-93.0772|64628|4128|366.5|America/Chicago
Brittany Farms-The Highlands|PA|Pennsylvania|Bucks|40.269|-75.214|18914|4127|1337.1|America/New_York
Hawaiian Acres|HI|Hawaii|Hawaii|19.5324|-155.0498|96760,96771|4123|81.9|Pacific/Honolulu
Walhalla|SC|South Carolina|Oconee|34.7705|-83.0615|29691|4121|409.6|America/New_York
McLendon-Chisholm|TX|Texas|Rockwall|32.8481|-96.391|75032|4121|126.5|America/Chicago
Wellsville|UT|Utah|Cache|41.6223|-111.943|84339|4120|217.7|America/Denver
Rice Lake|MN|Minnesota|St. Louis|46.8977|-92.1137|55803|4120|48.6|America/Chicago
Williamston|SC|South Carolina|Anderson|34.6194|-82.4794|29697|4116|415.4|America/New_York
Friona|TX|Texas|Parmer|34.6394|-102.723|79035|4116|1130.2|America/Chicago
North El Monte|CA|California|Los Angeles|34.1029|-118.0239|91780,91006|4115|3735.3|America/Los_Angeles
Reiffton|PA|Pennsylvania|Berks|40.3126|-75.8663|19606|4114|832.1|America/New_York
Nashville|AR|Arkansas|Howard|33.9418|-93.8516|71852|4114|290.2|America/Chicago
Monongahela|PA|Pennsylvania|Washington|40.1955|-79.9222|15063|4113|830.1|America/New_York
Simonton Lake|IN|Indiana|Elkhart|41.7478|-85.9657|46514|4113|471.9|America/Detroit
Burnt Mills|MD|Maryland|Montgomery|39.034|-76.9983|20903,20901,20993|4111|1901.8|America/New_York
Woodville|FL|Florida|Leon|30.312|-84.2611|32305,32362|4109|187.8|America/New_York
Bystrom|CA|California|Stanislaus|37.6198|-120.9813|95351|4109|2916.8|America/Los_Angeles
Hunter|OH|Ohio|Warren|39.494|-84.2852|45005|4108|733.3|America/New_York
University Center|VA|Virginia|Loudoun|39.0599|-77.4443|20147|4107|1726.9|America/New_York
Valley Grande|AL|Alabama|Dallas|32.4862|-87.0305|36703,36701|4106|47.3|America/Chicago
Goodview|MN|Minnesota|Winona|44.0692|-91.7166|55959,55987|4104|714.9|America/Chicago
Pinetop-Lakeside|AZ|Arizona|Navajo|34.1486|-109.9657|85935,85929,85901|4103|142.1|America/Phoenix
The College of New Jersey|NJ|New Jersey|Mercer|40.2689|-74.7764|08638,08618|4103|3703.5|America/New_York
Falls City|NE|Nebraska|Richardson|40.0623|-95.5989|68355|4099|475.2|America/Chicago
North East|MD|Maryland|Cecil|39.6076|-75.9414|21901,21921|4095|774.6|America/New_York
Gordon Heights|NY|New York|Suffolk|40.8645|-72.9678|11763,11953|4095|927.8|America/New_York
Forest Oaks|NC|North Carolina|Guilford|35.9889|-79.7079|27406,27419|4095|329.5|America/New_York
Fruit Hill|OH|Ohio|Hamilton|39.0699|-84.367|45230|4094|1230.1|America/New_York
Metamora|IL|Illinois|Woodford|40.7951|-89.3672|61548|4094|693.5|America/Chicago
Jonesboro|LA|Louisiana|Jackson|32.2348|-92.7098|71251|4092|326|America/Chicago
Taylor|AZ|Arizona|Navajo|34.4393|-110.1018|85939|4091|48.4|America/Phoenix
North Muskegon|MI|Michigan|Muskegon|43.2517|-86.2715|49445|4089|882.2|America/Detroit
Fenton|MO|Missouri|St. Louis|38.5279|-90.4488|63026,63099|4087|251.6|America/Chicago
Clayton|DE|Delaware|Kent|39.2849|-75.6366|19938|4086|810|America/New_York
Trent Woods|NC|North Carolina|Craven|35.081|-77.0945|28562|4086|530.8|America/New_York
Green Oaks|IL|Illinois|Lake|42.2954|-87.9115|60048,60044|4085|395.2|America/Chicago
Riverdale|NJ|New Jersey|Morris|40.9921|-74.3125|7457|4084|778.2|America/New_York
Armona|CA|California|Kings|36.3166|-119.7054|93202,93230|4084|768.1|America/Los_Angeles
North Brooksville|FL|Florida|Hernando|28.5731|-82.3744|34601|4082|241.7|America/New_York
Pascoag|RI|Rhode Island|Providence|41.952|-71.7042|2859|4081|310.7|America/New_York
Bullard|TX|Texas|Smith|32.1451|-95.3196|75757|4080|376.1|America/Chicago
Otsego|MI|Michigan|Allegan|42.4576|-85.698|49078|4079|774.8|America/Detroit
Herricks|NY|New York|Nassau|40.7567|-73.6635|11040,11596|4077|2747.5|America/New_York
Garden City South|NY|New York|Nassau|40.712|-73.6607|11530,11552|4077|3947.2|America/New_York
Medina|TX|Texas|Zapata|26.9289|-99.2614|78076|4073|886.7|America/Chicago
Montauk|NY|New York|Suffolk|41.0466|-71.9465|11954|4073|85.1|America/New_York
Hazlehurst|GA|Georgia|Jeff Davis|31.8651|-82.5994|31539|4072|332.2|America/New_York
Marseilles|IL|Illinois|LaSalle|41.3099|-88.685|61341|4071|173.7|America/Chicago
Sparta|IL|Illinois|Randolph|38.1513|-89.7185|62286|4070|140.9|America/Chicago
Mulberry|FL|Florida|Polk|27.9058|-81.9873|33860|4070|231.5|America/New_York
Leisure Village West|NJ|New Jersey|Ocean|40.0104|-74.2806|8759|4070|1299|America/New_York
Throop|PA|Pennsylvania|Lackawanna|41.4382|-75.5927|18447,18512|4069|316.2|America/New_York
Gentry|AR|Arkansas|Benton|36.2571|-94.4908|72734|4069|277.6|America/Chicago
Hugoton|KS|Kansas|Stevens|37.1745|-101.3447|67951|4065|749.2|America/Chicago
West Milwaukee|WI|Wisconsin|Milwaukee|43.0124|-87.971|53219,53214,53215,53234|4064|1402.7|America/Chicago
Rock Valley|IA|Iowa|Sioux|43.2028|-96.2897|51247|4061|351.5|America/Chicago
Brookdale|SC|South Carolina|Orangeburg|33.5183|-80.8332|29115|4061|430.5|America/New_York
Cross Plains|WI|Wisconsin|Dane|43.1145|-89.6479|53528|4059|833.2|America/Chicago
Delmar|MD|Maryland|Wicomico|38.445|-75.5662|21875|4058|928.6|America/New_York
Crittenden|KY|Kentucky|Grant|38.7755|-84.6137|41035,41030|4058|460.1|America/New_York
Eastwood|LA|Louisiana|Bossier|32.5607|-93.5625|71037,71067|4057|246.7|America/Chicago
Santa Rita Ranch|TX|Texas|Williamson|30.6642|-97.8328|78642|4055|396|America/Chicago
Monticello|IA|Iowa|Jones|42.2298|-91.1861|52310|4055|278.2|America/Chicago
Candelaria Arenas|PR|Puerto Rico|Toa Baja|18.4175|-66.2203|949|4054|1568.1|America/Puerto_Rico
Holloman AFB|NM|New Mexico|Otero|32.8483|-106.0998|88330|4052|124.6|America/Denver
Chester|NY|New York|Orange|41.357|-74.2768|10918|4052|728.3|America/New_York
Tierra Verde|FL|Florida|Pinellas|27.6687|-82.7299|33715|4051|1263.3|America/New_York
Lathrup Village|MI|Michigan|Oakland|42.4921|-83.2273|48076|4049|1037.7|America/Detroit
Marine City|MI|Michigan|St. Clair|42.7137|-82.5012|48039|4047|724.7|America/Detroit
Rosewood Heights|IL|Illinois|Madison|38.8885|-90.0723|62024,62018|4047|935.1|America/Chicago
Greenfield|OH|Ohio|Highland|39.3536|-83.3883|45123|4047|750.6|America/New_York
Quitman|GA|Georgia|Brooks|30.7849|-83.5603|31643|4046|378.5|America/New_York
Larch Way|WA|Washington|Snohomish|47.8429|-122.2528|98087,98037|4046|1403.7|America/Los_Angeles
Fleetwood|PA|Pennsylvania|Berks|40.4565|-75.8209|19522|4045|1496|America/New_York
Weston Lakes|TX|Texas|Fort Bend|29.6627|-95.9352|77441|4045|589.1|America/Chicago
Laurel|DE|Delaware|Sussex|38.5691|-75.5689|19956|4043|563.5|America/New_York
Winnfield|LA|Louisiana|Winn|31.924|-92.6425|71483|4042|428.6|America/Chicago
Bosque Farms|NM|New Mexico|Valencia|34.8539|-106.7011|87068|4042|396.6|America/Denver
Comerio|PR|Puerto Rico|Comerío|18.22|-66.2246|782|4040|3465.6|America/Puerto_Rico
Amite City|LA|Louisiana|Tangipahoa|30.7323|-90.5133|70422|4036|401.9|America/Chicago
Haskell|AR|Arkansas|Saline|34.5095|-92.6406|72015|4035|318.4|America/Chicago
Enon|VA|Virginia|Chesterfield|37.3273|-77.3195|23836|4035|361.4|America/New_York
Silver Lake|NJ|New Jersey|Essex|40.7804|-74.1829|07109,07003|4034|7979.2|America/New_York
Mary Esther|FL|Florida|Okaloosa|30.4127|-86.6588|32569|4034|1070.1|America/Chicago
Smithville|TX|Texas|Bastrop|30.0082|-97.152|78957|4032|376.4|America/Chicago
Mount Repose|OH|Ohio|Clermont|39.1907|-84.2197|45150|4032|758.8|America/New_York
Loxley|AL|Alabama|Baldwin|30.6812|-87.7416|36551,36578|4029|48.8|America/Chicago
Cedar Creek|TX|Texas|Bastrop|30.0811|-97.518|78612|4026|86.4|America/Chicago
Elkin|NC|North Carolina|Surry|36.2621|-80.8443|28621|4025|228.2|America/New_York
Huntington|TX|Texas|Angelina|31.2803|-94.577|75949|4022|565.3|America/Chicago
Bardonia|NY|New York|Rockland|41.1128|-73.9822|10994,10954|4022|606.1|America/New_York
South Eliot|ME|Maine|York|43.1287|-70.7952|3903|4021|215.9|America/New_York
St. Charles|MN|Minnesota|Winona|43.9687|-92.0593|55972|4021|407.7|America/Chicago
Dillon|MT|Montana|Beaverhead|45.218|-112.6345|59725|4020|817.7|America/Denver
Coquille|OR|Oregon|Coos|43.1802|-124.1841|97423|4019|561.4|America/Los_Angeles
Cayuga Heights|NY|New York|Tompkins|42.468|-76.4876|14850|4018|878.1|America/New_York
Camdenton|MO|Missouri|Camden|38.0121|-92.7499|65020|4017|282.4|America/Chicago
West Bradenton|FL|Florida|Manatee|27.5016|-82.6146|34209|4017|1192.1|America/New_York
Stanley|NC|North Carolina|Gaston|35.3552|-81.0938|28120,28164|4014|507.2|America/New_York
Capitol Heights|MD|Maryland|Prince George's|38.8765|-76.9075|20743,20731|4014|1989|America/New_York
Warminster Heights|PA|Pennsylvania|Bucks|40.1884|-75.0841|18974|4013|2458.4|America/New_York
Millstadt|IL|Illinois|St. Clair|38.4579|-90.0834|62260|4013|435.8|America/Chicago
Mineral Ridge|OH|Ohio|Trumbull|41.1385|-80.7672|44440,44515|4012|434.7|America/New_York
Camden|DE|Delaware|Kent|39.099|-75.5571|19934,19904|4011|413.4|America/New_York
Point Pleasant|WV|West Virginia|Mason|38.853|-82.1303|25550|4009|640.6|America/New_York
Pinehurst|TX|Texas|Montgomery|30.1889|-95.7017|77354,77362|4008|195.5|America/Chicago
Westover|WV|West Virginia|Monongalia|39.6329|-79.9882|26546,26501,26502|4007|508.1|America/New_York
Taylor Creek|OH|Ohio|Hamilton|39.2362|-84.6802|45247|4004|180.4|America/New_York
Marlboro Meadows|MD|Maryland|Prince George's|38.8374|-76.7144|20774,20772|4003|253.8|America/New_York
Cutler|CA|California|Tulare|36.5247|-119.2889|93615|4002|1262.9|America/Los_Angeles
Algood|TN|Tennessee|Putnam|36.2|-85.4468|38506|4002|377.8|America/Chicago
Collinsville|CT|Connecticut|Capitol|41.8189|-72.922|6019|4001|492.9|America/New_York
St. Bernard|OH|Ohio|Hamilton|39.1711|-84.4955|45217|3998|1005.9|America/New_York
Brownsville|LA|Louisiana|Ouachita|32.4883|-92.1619|71292|3996|444|America/Chicago
Trappe|PA|Pennsylvania|Montgomery|40.1991|-75.4754|19426|3995|748.4|America/New_York
Basalt|CO|Colorado|Eagle|39.3663|-107.0413|81621|3995|762.6|America/Denver
South Haven|MI|Michigan|Van Buren|42.4011|-86.2677|49090|3994|445.7|America/Detroit
Indian Head Park|IL|Illinois|Cook|41.769|-87.8977|60525|3992|1653.3|America/Chicago
Ridgway|PA|Pennsylvania|Elk|41.427|-78.7297|15853|3991|589.9|America/New_York
San Miguel|CA|California|Contra Costa|37.8867|-122.0368|94596|3991|1467.2|America/Los_Angeles
Friendship Heights Village|MD|Maryland|Montgomery|38.9633|-77.0898|20815|3991|7695|America/New_York
Pittsboro|IN|Indiana|Hendricks|39.8705|-86.4654|46167|3988|359.8|America/Indiana/Indianapolis
Esperance|WA|Washington|Snohomish|47.7937|-122.3469|98026|3988|2126.8|America/Los_Angeles
Riverwoods|IL|Illinois|Lake|42.1723|-87.8951|60015|3988|388.1|America/Chicago
